id,gjennomforing_id,innsatsbehov,start_dato,slutt_dato
deltaker86,gjennomføring87,S.Bestemt,2024-10-31,2025-03-07
deltaker87,gjennomføring41,Landegruppe3,2026-11-03,2026-11-26
deltaker88,gjennomføring87,S.Tilpasset,2024-03-18,2024-07-15
deltaker89,gjennomføring186,Landegruppe3,2025-03-25,2025-11-12
deltaker90,gjennomføring23,S.Bestemt,2011-06-27,2017-12-29
deltaker91,gjennomføring68,S.Bestemt,2024-12-11,2025-02-27
deltaker92,gjennomføring158,S.Tilpasset,2019-05-18,2019-08-25
deltaker93,gjennomføring43,S.Tilpasset,2025-12-05,2026-05-14
deltaker94,gjennomføring49,Landegruppe3,2018-08-31,2019-01-09
deltaker95,gjennomføring192,S.Bestemt,2022-02-16,2023-07-02
deltaker96,gjennomføring185,S.Bestemt,2014-10-19,2014-12-08
deltaker97,gjennomføring72,S.Bestemt,2023-11-12,2024-06-12
deltaker98,gjennomføring87,S.Bestemt,2025-04-12,2025-04-17
deltaker99,gjennomføring182,S.Bestemt,2019-01-10,2019-05-02
deltaker100,gjennomføring77,S.Tilpasset,2016-01-24,2016-04-27
deltaker101,gjennomføring177,Landegruppe3,2018-02-21,2019-11-28
deltaker102,gjennomføring139,S.Tilpasset,2011-02-03,2023-06-09
deltaker103,gjennomføring90,S.Bestemt,2019-11-29,2020-03-12
deltaker104,gjennomføring65,Landegruppe3,2013-10-24,2013-11-20
deltaker105,gjennomføring7,Landegruppe3,2019-01-01,2021-09-21
deltaker106,gjennomføring99,S.Bestemt,2017-05-17,2018-11-22
deltaker107,gjennomføring1,S.Tilpasset,2024-01-29,2024-08-23
deltaker108,gjennomføring15,S.Tilpasset,2015-05-21,2015-05-28
deltaker109,gjennomføring88,Landegruppe3,2023-02-18,2023-10-20
deltaker110,gjennomføring55,S.Tilpasset,2011-10-08,2015-11-28
deltaker111,gjennomføring70,S.Tilpasset,2019-07-22,2019-09-02
deltaker112,gjennomføring59,S.Bestemt,2024-12-16,2025-06-28
deltaker113,gjennomføring22,S.Tilpasset,2015-02-21,2018-01-15
deltaker114,gjennomføring97,Landegruppe3,2011-06-08,2011-10-11
deltaker115,gjennomføring51,S.Tilpasset,2014-07-27,2014-08-15
deltaker116,gjennomføring17,S.Tilpasset,2020-08-08,2020-09-19
deltaker117,gjennomføring13,Landegruppe3,2019-09-08,2019-09-19
deltaker118,gjennomføring165,Landegruppe3,2011-05-01,2011-07-18
deltaker119,gjennomføring169,S.Tilpasset,2026-04-01,2026-04-22
deltaker120,gjennomføring197,Landegruppe3,2023-11-11,2024-08-27
deltaker121,gjennomføring44,Landegruppe3,2022-11-06,2026-08-18
deltaker122,gjennomføring174,Landegruppe3,2026-04-04,2026-05-08
deltaker123,gjennomføring77,S.Bestemt,2014-10-01,2016-08-03
deltaker124,gjennomføring192,S.Tilpasset,2021-04-15,2021-05-02
deltaker125,gjennomføring101,S.Tilpasset,2013-07-29,2018-10-28
deltaker126,gjennomføring130,Landegruppe3,2020-06-08,2021-03-26
deltaker127,gjennomføring126,Landegruppe3,2016-01-01,2017-09-27
deltaker128,gjennomføring100,Landegruppe3,2024-08-17,2025-10-18
deltaker129,gjennomføring42,S.Tilpasset,2023-06-12,2023-10-06
deltaker130,gjennomføring157,S.Tilpasset,2015-02-26,2019-05-30
deltaker131,gjennomføring165,Landegruppe3,2011-05-12,2011-09-23
deltaker132,gjennomføring13,S.Tilpasset,2019-09-13,2019-09-19
deltaker133,gjennomføring113,S.Tilpasset,2012-09-27,2014-05-12
deltaker134,gjennomføring152,S.Bestemt,2021-10-13,2021-11-04
deltaker135,gjennomføring169,S.Bestemt,2026-11-01,2026-11-26
deltaker136,gjennomføring155,S.Bestemt,2019-01-09,2022-09-17
deltaker137,gjennomføring194,S.Tilpasset,2014-04-05,2015-10-28
deltaker138,gjennomføring26,Landegruppe3,2013-07-24,2014-10-21
deltaker139,gjennomføring156,S.Tilpasset,2022-11-21,2023-01-07
deltaker140,gjennomføring115,S.Tilpasset,2024-12-13,2025-06-28
deltaker141,gjennomføring58,S.Bestemt,2012-02-26,2015-07-29
deltaker142,gjennomføring99,S.Bestemt,2019-06-15,2020-09-04
deltaker143,gjennomføring102,Landegruppe3,2017-11-19,2020-02-25
deltaker144,gjennomføring133,Landegruppe3,2014-06-09,2017-01-06
deltaker145,gjennomføring130,S.Bestemt,2021-09-01,2022-06-07
deltaker146,gjennomføring149,S.Bestemt,2021-04-18,2021-08-13
deltaker147,gjennomføring100,Landegruppe3,2025-12-08,2026-03-15
deltaker148,gjennomføring95,S.Bestemt,2015-05-16,2015-09-26
deltaker149,gjennomføring11,Landegruppe3,2023-10-10,2023-10-15
deltaker150,gjennomføring194,S.Bestemt,2015-07-09,2016-10-22
deltaker151,gjennomføring190,S.Bestemt,2013-11-24,2015-04-25
deltaker152,gjennomføring39,S.Bestemt,2023-02-26,2023-09-14
deltaker153,gjennomføring65,Landegruppe3,2013-10-10,2013-11-01
deltaker154,gjennomføring108,S.Bestemt,2025-02-04,2025-04-25
deltaker155,gjennomføring93,S.Bestemt,2017-06-11,2017-07-27
deltaker156,gjennomføring9,S.Bestemt,2025-03-14,2025-06-30
deltaker157,gjennomføring28,S.Bestemt,2025-09-14,2026-08-02
deltaker158,gjennomføring131,Landegruppe3,2023-12-17,2024-01-08
deltaker159,gjennomføring106,Landegruppe3,2014-10-19,2015-06-23
deltaker160,gjennomføring46,Landegruppe3,2018-06-24,2018-09-02
deltaker161,gjennomføring195,Landegruppe3,2021-04-11,2021-10-19
deltaker162,gjennomføring18,Landegruppe3,2024-03-19,2025-05-11
deltaker163,gjennomføring167,Landegruppe3,2020-10-31,2023-02-28
deltaker164,gjennomføring52,Landegruppe3,2021-05-04,2021-08-10
deltaker165,gjennomføring182,Landegruppe3,2019-07-17,2019-09-27
deltaker166,gjennomføring123,S.Tilpasset,2024-05-09,2024-06-27
deltaker167,gjennomføring70,Landegruppe3,2019-03-14,2019-09-06
deltaker168,gjennomføring156,S.Bestemt,2022-09-13,2022-10-10
deltaker169,gjennomføring116,S.Tilpasset,2010-08-05,2013-03-17
deltaker170,gjennomføring78,S.Bestemt,2023-10-28,2024-06-24
deltaker171,gjennomføring53,S.Bestemt,2015-02-22,2016-07-10
deltaker172,gjennomføring46,S.Bestemt,2018-02-01,2018-10-05
deltaker173,gjennomføring18,S.Tilpasset,2024-02-15,2025-06-24
deltaker174,gjennomføring0,S.Tilpasset,2020-05-14,2021-04-13
deltaker175,gjennomføring145,S.Tilpasset,2015-03-08,2015-05-23
deltaker176,gjennomføring181,S.Tilpasset,2017-08-05,2020-09-17
deltaker177,gjennomføring164,Landegruppe3,2026-06-21,2026-07-02
deltaker178,gjennomføring31,Landegruppe3,2023-10-12,2024-03-04
deltaker179,gjennomføring27,Landegruppe3,2014-12-09,2017-10-28
deltaker180,gjennomføring167,Landegruppe3,2023-07-20,2024-12-19
deltaker181,gjennomføring11,Landegruppe3,2023-07-29,2023-09-12
deltaker182,gjennomføring90,S.Bestemt,2020-01-08,2020-02-28
deltaker183,gjennomføring137,Landegruppe3,2018-02-11,2018-04-13
deltaker184,gjennomføring101,Landegruppe3,2019-05-30,2020-08-07
deltaker185,gjennomføring174,S.Bestemt,2026-06-06,2026-06-07
deltaker186,gjennomføring97,Landegruppe3,2011-10-26,2011-11-28
deltaker187,gjennomføring84,S.Tilpasset,2026-08-19,2026-09-21
deltaker188,gjennomføring150,S.Tilpasset,2023-10-14,2024-06-02
deltaker189,gjennomføring80,Landegruppe3,2025-02-09,2025-07-26
deltaker190,gjennomføring61,S.Tilpasset,2017-09-02,2023-05-01
deltaker191,gjennomføring154,S.Bestemt,2024-10-22,2025-07-27
deltaker192,gjennomføring105,Landegruppe3,2013-09-07,2018-04-01
deltaker193,gjennomføring121,S.Tilpasset,2024-11-02,2026-05-04
deltaker194,gjennomføring63,S.Tilpasset,2026-09-17,2026-09-22
deltaker195,gjennomføring172,Landegruppe3,2025-10-17,2026-03-26
deltaker196,gjennomføring33,S.Bestemt,2019-03-30,2021-06-05
deltaker197,gjennomføring21,S.Tilpasset,2018-07-08,2018-07-17
deltaker198,gjennomføring12,S.Bestemt,2025-08-05,2025-11-18
deltaker199,gjennomføring130,S.Tilpasset,2020-05-19,2022-07-06
deltaker200,gjennomføring96,S.Bestemt,2013-08-02,2013-10-04
deltaker201,gjennomføring139,Landegruppe3,2009-09-21,2023-03-26
deltaker202,gjennomføring110,S.Tilpasset,2023-01-10,2023-01-11
deltaker203,gjennomføring34,S.Bestemt,2022-09-30,2024-08-22
deltaker204,gjennomføring26,S.Bestemt,2013-08-15,2017-11-08
deltaker205,gjennomføring88,S.Tilpasset,2024-02-06,2024-02-14
deltaker206,gjennomføring121,Landegruppe3,2024-01-20,2025-07-10
deltaker207,gjennomføring58,S.Tilpasset,2015-05-08,2016-12-31
deltaker208,gjennomføring144,Landegruppe3,2010-01-13,2010-02-28
deltaker209,gjennomføring71,Landegruppe3,2022-04-20,2023-01-02
deltaker210,gjennomføring164,S.Tilpasset,2026-05-25,2026-06-13
deltaker211,gjennomføring163,Landegruppe3,2017-12-16,2018-04-14
deltaker212,gjennomføring44,S.Tilpasset,2025-08-08,2026-07-26
deltaker213,gjennomføring127,S.Bestemt,2021-04-28,2021-05-17
deltaker214,gjennomføring54,S.Tilpasset,2014-05-13,2015-09-28
deltaker215,gjennomføring9,Landegruppe3,2024-09-06,2025-07-13
deltaker216,gjennomføring70,S.Tilpasset,2018-11-25,2019-05-17
deltaker217,gjennomføring176,S.Tilpasset,2026-11-27,2026-11-30
deltaker218,gjennomføring78,Landegruppe3,2022-07-02,2023-01-09
deltaker219,gjennomføring27,Landegruppe3,2012-10-01,2019-02-03
deltaker220,gjennomføring158,Landegruppe3,2019-01-05,2019-02-11
deltaker221,gjennomføring32,S.Tilpasset,2022-10-15,2023-10-07
deltaker222,gjennomføring103,S.Tilpasset,2024-02-21,2024-07-11
deltaker223,gjennomføring90,S.Tilpasset,2019-06-08,2019-08-05
deltaker224,gjennomføring114,Landegruppe3,2026-01-11,2026-01-18
deltaker225,gjennomføring87,S.Tilpasset,2025-03-28,2025-04-03
deltaker226,gjennomføring159,S.Bestemt,2024-08-18,2025-04-17
deltaker227,gjennomføring39,S.Tilpasset,2023-06-20,2023-08-18
deltaker228,gjennomføring18,S.Bestemt,2025-02-25,2025-03-30
deltaker229,gjennomføring156,S.Tilpasset,2022-10-24,2023-01-23
deltaker230,gjennomføring12,S.Bestemt,2026-04-19,2026-04-26
deltaker231,gjennomføring165,Landegruppe3,2011-05-17,2011-06-22
deltaker232,gjennomføring2,S.Tilpasset,2025-01-11,2025-02-07
deltaker233,gjennomføring55,S.Tilpasset,2013-09-13,2019-09-03
deltaker234,gjennomføring3,S.Bestemt,2018-07-28,2019-01-02
deltaker235,gjennomføring182,S.Bestemt,2019-09-13,2019-11-05
deltaker236,gjennomføring164,S.Tilpasset,2026-02-15,2026-06-28
deltaker237,gjennomføring14,Landegruppe3,2013-11-16,2014-05-20
deltaker238,gjennomføring108,S.Tilpasset,2024-12-06,2025-01-30
deltaker239,gjennomføring129,S.Bestemt,2013-12-18,2013-12-19
deltaker240,gjennomføring16,Landegruppe3,2017-09-02,2020-02-20
deltaker241,gjennomføring77,S.Tilpasset,2016-01-02,2016-02-19
deltaker242,gjennomføring97,Landegruppe3,2011-10-08,2012-01-24
deltaker243,gjennomføring86,Landegruppe3,2015-07-13,2023-06-08
deltaker244,gjennomføring45,S.Bestemt,2023-05-19,2024-03-25
deltaker245,gjennomføring159,Landegruppe3,2023-10-25,2024-03-01
deltaker246,gjennomføring72,S.Bestemt,2025-01-29,2025-07-12
deltaker247,gjennomføring36,S.Tilpasset,2022-12-02,2026-08-08
deltaker248,gjennomføring188,S.Bestemt,2024-01-06,2024-03-25
deltaker249,gjennomføring156,S.Bestemt,2022-10-26,2022-11-11
deltaker250,gjennomføring35,S.Bestemt,2018-03-14,2022-04-04
deltaker251,gjennomføring149,S.Bestemt,2021-05-24,2021-11-06
deltaker252,gjennomføring164,S.Tilpasset,2026-05-16,2026-06-28
deltaker253,gjennomføring44,S.Tilpasset,2026-07-14,2026-08-11
deltaker254,gjennomføring181,Landegruppe3,2019-07-17,2020-05-04
deltaker255,gjennomføring133,Landegruppe3,2014-05-22,2016-05-03
deltaker256,gjennomføring94,S.Tilpasset,2023-06-07,2024-01-24
deltaker257,gjennomføring69,Landegruppe3,2023-07-12,2023-08-28
deltaker258,gjennomføring5,Landegruppe3,2023-11-22,2024-09-22
deltaker259,gjennomføring191,Landegruppe3,2021-08-23,2022-08-13
deltaker260,gjennomføring106,S.Bestemt,2015-10-30,2017-03-03
deltaker261,gjennomføring44,S.Bestemt,2022-10-20,2024-03-27
deltaker262,gjennomføring75,Landegruppe3,2021-01-04,2021-10-23
deltaker263,gjennomføring27,S.Tilpasset,2012-10-04,2013-06-27
deltaker264,gjennomføring162,S.Bestemt,2022-12-18,2022-12-19
deltaker265,gjennomføring16,S.Tilpasset,2020-12-01,2021-02-05
deltaker266,gjennomføring22,Landegruppe3,2016-09-06,2017-09-05
deltaker267,gjennomføring70,S.Tilpasset,2019-10-14,2019-10-15
deltaker268,gjennomføring2,Landegruppe3,2025-02-07,2025-02-08
deltaker269,gjennomføring192,S.Tilpasset,2021-01-19,2022-05-14
deltaker270,gjennomføring118,S.Bestemt,2020-02-18,2020-03-05
deltaker271,gjennomføring136,S.Tilpasset,2026-06-23,2026-08-09
deltaker272,gjennomføring76,S.Tilpasset,2017-11-17,2018-08-23
deltaker273,gjennomføring149,Landegruppe3,2021-11-12,2021-11-27
deltaker274,gjennomføring61,Landegruppe3,2020-05-08,2020-06-29
deltaker275,gjennomføring154,S.Tilpasset,2025-04-25,2025-09-09
deltaker276,gjennomføring156,Landegruppe3,2022-09-29,2022-12-16
deltaker277,gjennomføring150,S.Tilpasset,2023-08-08,2023-09-28
deltaker278,gjennomføring163,S.Bestemt,2018-08-12,2019-04-11
deltaker279,gjennomføring133,S.Bestemt,2016-12-09,2017-01-05
deltaker280,gjennomføring185,S.Tilpasset,2013-09-03,2015-01-31
deltaker281,gjennomføring31,S.Bestemt,2018-08-11,2021-09-09
deltaker282,gjennomføring72,S.Tilpasset,2022-12-12,2025-03-25
deltaker283,gjennomføring58,Landegruppe3,2012-05-29,2014-02-13
deltaker284,gjennomføring176,S.Tilpasset,2026-12-01,2026-12-09
deltaker285,gjennomføring72,S.Tilpasset,2023-03-04,2024-02-22
deltaker286,gjennomføring7,S.Tilpasset,2018-06-03,2022-11-24
deltaker287,gjennomføring6,S.Tilpasset,2012-08-08,2019-11-22
deltaker288,gjennomføring46,S.Bestemt,2016-10-01,2017-08-12
deltaker289,gjennomføring140,Landegruppe3,2010-04-09,2012-01-30
deltaker290,gjennomføring19,Landegruppe3,2016-05-09,2017-06-10
deltaker291,gjennomføring112,Landegruppe3,2013-01-23,2016-06-08
deltaker292,gjennomføring50,Landegruppe3,2019-06-01,2020-05-20
deltaker293,gjennomføring23,Landegruppe3,2009-09-27,2013-12-24
deltaker294,gjennomføring27,Landegruppe3,2012-08-11,2013-12-08
deltaker295,gjennomføring57,S.Tilpasset,2021-09-09,2022-02-22
deltaker296,gjennomføring11,S.Tilpasset,2023-10-04,2023-10-12
deltaker297,gjennomføring142,Landegruppe3,2020-07-12,2021-07-04
deltaker298,gjennomføring146,Landegruppe3,2020-05-12,2021-04-26
deltaker299,gjennomføring102,S.Bestemt,2019-03-01,2022-10-03
deltaker300,gjennomføring44,Landegruppe3,2022-12-03,2024-05-03
deltaker301,gjennomføring118,S.Bestemt,2019-12-06,2020-01-20
deltaker302,gjennomføring32,Landegruppe3,2023-02-20,2023-11-07
deltaker303,gjennomføring44,S.Bestemt,2023-01-01,2023-02-15
deltaker304,gjennomføring35,S.Tilpasset,2016-09-17,2021-11-14
deltaker305,gjennomføring20,Landegruppe3,2018-05-31,2019-03-08
deltaker306,gjennomføring182,S.Tilpasset,2020-01-02,2020-01-04
deltaker307,gjennomføring168,S.Tilpasset,2020-12-12,2021-10-31
deltaker308,gjennomføring188,Landegruppe3,2024-02-01,2024-04-04
deltaker309,gjennomføring189,S.Bestemt,2019-01-18,2019-01-31
deltaker310,gjennomføring137,Landegruppe3,2018-06-01,2018-06-23
deltaker311,gjennomføring149,S.Bestemt,2021-12-29,2022-01-04
deltaker312,gjennomføring58,Landegruppe3,2012-11-24,2016-01-01
deltaker313,gjennomføring81,S.Tilpasset,2017-10-20,2018-02-01
deltaker314,gjennomføring158,S.Bestemt,2019-02-07,2019-11-29
deltaker315,gjennomføring176,S.Bestemt,2026-12-03,2026-12-07
deltaker316,gjennomføring40,S.Bestemt,2020-05-18,2021-08-10
deltaker317,gjennomføring8,Landegruppe3,2017-04-06,2021-01-15
deltaker318,gjennomføring149,Landegruppe3,2021-03-11,2021-07-29
deltaker319,gjennomføring50,Landegruppe3,2019-08-20,2019-12-15
deltaker320,gjennomføring119,Landegruppe3,2018-03-31,2018-04-29
deltaker321,gjennomføring188,S.Tilpasset,2024-02-14,2024-03-01
deltaker322,gjennomføring185,S.Bestemt,2015-01-29,2015-02-15
deltaker323,gjennomføring12,S.Bestemt,2024-12-14,2026-01-27
deltaker324,gjennomføring189,S.Tilpasset,2017-12-12,2019-04-03
deltaker325,gjennomføring3,S.Tilpasset,2018-04-07,2020-05-26
deltaker326,gjennomføring1,S.Tilpasset,2023-03-12,2024-12-16
deltaker327,gjennomføring75,Landegruppe3,2020-06-11,2021-09-22
deltaker328,gjennomføring86,S.Bestemt,2010-03-10,2023-10-27
deltaker329,gjennomføring160,Landegruppe3,2019-07-30,2019-08-10
deltaker330,gjennomføring183,S.Bestemt,2022-01-05,2023-05-15
deltaker331,gjennomføring19,S.Tilpasset,2015-08-02,2019-02-14
deltaker332,gjennomføring54,S.Bestemt,2014-11-01,2018-06-17
deltaker333,gjennomføring56,S.Bestemt,2022-05-11,2023-05-17
deltaker334,gjennomføring183,Landegruppe3,2023-06-01,2023-08-01
deltaker335,gjennomføring136,S.Tilpasset,2026-05-27,2026-07-18
deltaker336,gjennomføring73,S.Bestemt,2011-07-12,2020-04-07
deltaker337,gjennomføring36,S.Bestemt,2023-09-18,2025-05-03
deltaker338,gjennomføring113,Landegruppe3,2014-07-02,2014-08-04
deltaker339,gjennomføring130,Landegruppe3,2022-11-28,2023-08-24
deltaker340,gjennomføring50,S.Bestemt,2019-06-06,2020-01-18
deltaker341,gjennomføring135,S.Tilpasset,2015-02-11,2015-09-12
deltaker342,gjennomføring9,S.Bestemt,2024-11-03,2025-04-26
deltaker343,gjennomføring111,S.Tilpasset,2010-05-19,2010-06-21
deltaker344,gjennomføring133,S.Tilpasset,2016-02-25,2016-10-27
deltaker345,gjennomføring125,S.Tilpasset,2024-05-21,2024-09-13
deltaker346,gjennomføring166,S.Tilpasset,2014-01-20,2018-01-04
deltaker347,gjennomføring177,Landegruppe3,2018-09-08,2019-07-24
deltaker348,gjennomføring51,S.Bestemt,2014-08-11,2014-10-08
deltaker349,gjennomføring141,Landegruppe3,2014-07-16,2014-11-11
deltaker350,gjennomføring146,Landegruppe3,2018-11-22,2022-06-30
deltaker351,gjennomføring27,Landegruppe3,2013-05-17,2015-09-05
deltaker352,gjennomføring112,S.Tilpasset,2012-10-28,2015-12-16
deltaker353,gjennomføring135,S.Bestemt,2010-09-16,2014-12-11
deltaker354,gjennomføring123,Landegruppe3,2024-04-01,2024-04-08
deltaker355,gjennomføring97,S.Tilpasset,2011-11-28,2011-12-07
deltaker356,gjennomføring128,S.Tilpasset,2024-12-22,2025-03-08
deltaker357,gjennomføring8,S.Tilpasset,2022-04-21,2022-08-11
deltaker358,gjennomføring60,S.Tilpasset,2022-12-26,2025-02-07
deltaker359,gjennomføring77,S.Tilpasset,2015-04-21,2015-10-06
deltaker360,gjennomføring182,Landegruppe3,2019-08-31,2019-09-15
deltaker361,gjennomføring68,S.Tilpasset,2024-03-15,2024-03-28
deltaker362,gjennomføring65,Landegruppe3,2013-08-15,2013-08-18
deltaker363,gjennomføring69,Landegruppe3,2023-05-17,2023-08-18
deltaker364,gjennomføring167,Landegruppe3,2020-04-11,2020-05-31
deltaker365,gjennomføring187,Landegruppe3,2013-03-21,2016-10-27
deltaker366,gjennomføring71,S.Bestemt,2021-08-02,2022-08-29
deltaker367,gjennomføring5,S.Bestemt,2022-03-07,2022-12-18
deltaker368,gjennomføring177,S.Tilpasset,2017-04-27,2019-06-13
deltaker369,gjennomføring177,Landegruppe3,2017-04-11,2018-12-24
deltaker370,gjennomføring7,S.Bestemt,2018-04-21,2025-07-09
deltaker371,gjennomføring112,Landegruppe3,2012-09-30,2015-01-14
deltaker372,gjennomføring163,S.Bestemt,2016-09-28,2017-02-03
deltaker373,gjennomføring149,S.Bestemt,2021-03-04,2021-11-06
deltaker374,gjennomføring115,S.Bestemt,2025-01-19,2025-11-08
deltaker375,gjennomføring140,Landegruppe3,2018-05-10,2018-07-18
deltaker376,gjennomføring35,S.Tilpasset,2019-08-18,2022-12-22
deltaker377,gjennomføring190,Landegruppe3,2015-07-04,2015-08-27
deltaker378,gjennomføring163,S.Bestemt,2018-09-28,2018-10-10
deltaker379,gjennomføring195,S.Bestemt,2017-02-02,2021-07-29
deltaker380,gjennomføring152,S.Tilpasset,2020-07-18,2021-07-05
deltaker381,gjennomføring140,S.Bestemt,2013-09-16,2022-02-02
deltaker382,gjennomføring93,S.Bestemt,2017-04-18,2017-06-16
